,national_number,gen,english_name,japanese_name,classification,primary_type,secondary_type,description,col_name,egg_group,color,habitat,shape
16,17,I,Pidgeotto,Pigeon,Bird Pokémon,normal,flying,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,,flying,brown,forest,wings
17,18,I,Pidgeot,Pigeot,Bird Pokémon,normal,flying,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",,flying,brown,forest,wings
18,19,I,Rattata,Koratta,Mouse Pokémon,normal,dark,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",,ground,purple,grassland,quadruped
19,20,I,Raticate,Ratta,Mouse Pokémon,normal,dark,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",,ground,brown,grassland,quadruped
20,21,I,Spearow,Onisuzume,Tiny Bird Pokémon,normal,flying,"Inept at flying high. However, it can fly around very fast to protect its territory.",,flying,brown,rough-terrain,wings
21,22,I,Fearow,Onidrill,Beak Pokémon,normal,flying,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",,flying,brown,rough-terrain,wings
22,23,I,Ekans,Arbo,Snake Pokémon,poison,,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",,dragon,purple,grassland,squiggle
23,24,I,Arbok,Arbok,Cobra Pokémon,poison,,The frightening patterns on its belly have been studied. Six variations have been confirmed.,,dragon,purple,grassland,squiggle
24,25,I,Pikachu,Pikachu,Mouse Pokémon,electric,,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,,fairy,yellow,forest,quadruped
25,26,I,Raichu,Raichu,Mouse Pokémon,electric,electric,Its long tail serves as a ground to protect itself from its own high-voltage power.,,fairy,yellow,forest,upright
26,27,I,Sandshrew,Sand,Mouse Pokémon,ground,ice,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",,ground,yellow,rough-terrain,upright
27,28,I,Sandslash,Sandpan,Mouse Pokémon,ground,ice,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",,ground,yellow,rough-terrain,upright
28,29,I,Nidoran♀,Nidoran♀,Poison Pin Pokémon,poison,,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.",,,,,
29,30,I,Nidorina,Nidorina,Poison Pin Pokémon,poison,,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,,no-eggs,blue,grassland,quadruped
30,31,I,Nidoqueen,Nidoqueen,Drill Pokémon,poison,ground,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",,no-eggs,blue,grassland,upright
31,32,I,Nidoran♂,Nidoran♂,Poison Pin Pokémon,poison,,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.",,,,,
32,33,I,Nidorino,Nidorino,Poison Pin Pokémon,poison,,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",,ground,purple,grassland,quadruped
33,34,I,Nidoking,Nidoking,Drill Pokémon,poison,ground,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",,ground,purple,grassland,upright
34,35,I,Clefairy,Pippi,Fairy Pokémon,fairy,,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,,fairy,pink,mountain,upright
35,36,I,Clefable,Pixy,Fairy Pokémon,fairy,,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",,fairy,pink,mountain,upright
36,37,I,Vulpix,Rokon,Fox Pokémon,fire,ice,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",,ground,brown,grassland,quadruped
37,38,I,Ninetales,Kyukon,Fox Pokémon,fire,ice,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",,ground,yellow,grassland,quadruped
38,39,I,Jigglypuff,Purin,Balloon Pokémon,normal,fairy,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.",,fairy,pink,grassland,humanoid
39,40,I,Wigglytuff,Pukurin,Balloon Pokémon,normal,fairy,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them.",,fairy,pink,grassland,humanoid
40,41,I,Zubat,Zubat,Bat Pokémon,poison,flying,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.",,flying,purple,cave,wings
41,42,I,Golbat,Golbat,Bat Pokémon,poison,flying,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",,flying,purple,cave,wings
42,43,I,Oddish,Nazonokusa,Weed Pokémon,grass,poison,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",,plant,blue,grassland,legs
43,44,I,Gloom,Kusaihana,Weed Pokémon,grass,poison,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,,plant,blue,grassland,humanoid
44,45,I,Vileplume,Ruffresia,Flower Pokémon,grass,poison,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",,plant,red,grassland,humanoid
45,46,I,Paras,Paras,Mushroom Pokémon,bug,grass,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,,plant,red,forest,armor
46,47,I,Parasect,Parasect,Mushroom Pokémon,bug,grass,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,,plant,red,forest,armor
47,48,I,Venonat,Kongpang,Insect Pokémon,bug,poison,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",,bug,purple,forest,humanoid
48,49,I,Venomoth,Morphon,Poison Moth Pokémon,bug,poison,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,,bug,purple,forest,bug-wings
49,50,I,Diglett,Digda,Mole Pokémon,ground,ground,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.",,ground,brown,cave,blob
50,51,I,Dugtrio,Dugtrio,Mole Pokémon,ground,ground,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,,ground,brown,cave,heads
51,52,I,Meowth,Nyarth,Scratch Cat Pokémon,normal,dark,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",,ground,yellow,urban,quadruped
52,53,I,Persian,Persian,Classy Cat Pokémon,normal,dark,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.",,ground,yellow,urban,quadruped
53,54,I,Psyduck,Koduck,Duck Pokémon,water,,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.",,ground,yellow,waters-edge,upright
54,55,I,Golduck,Golduck,Duck Pokémon,water,,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display.",,ground,blue,waters-edge,upright
55,56,I,Mankey,Mankey,Pig Monkey Pokémon,fighting,,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,,ground,brown,mountain,upright
56,57,I,Primeape,Okorizaru,Pig Monkey Pokémon,fighting,,It stops being angry only when nobody else is around. To view this moment is very difficult.,,ground,brown,mountain,upright
57,58,I,Growlithe,Gardie,Puppy Pokémon,fire,,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,,ground,brown,grassland,quadruped
58,59,I,Arcanine,Windie,Legendary Pokémon,fire,,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",,ground,brown,grassland,quadruped
59,60,I,Poliwag,Nyoromo,Tadpole Pokémon,water,,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.",,water1,blue,waters-edge,legs
60,61,I,Poliwhirl,Nyorozo,Tadpole Pokémon,water,,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,,water1,blue,waters-edge,humanoid
61,62,I,Poliwrath,Nyorobon,Tadpole Pokémon,water,fighting,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.",,water1,blue,waters-edge,humanoid
62,63,I,Abra,Casey,Psi Pokémon,psychic,,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,,humanshape,brown,urban,upright
63,64,I,Kadabra,Yungerer,Psi Pokémon,psychic,,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.",,humanshape,brown,urban,upright
64,65,I,Alakazam,Foodin,Psi Pokémon,psychic,,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",,humanshape,brown,urban,humanoid
65,66,I,Machop,Wanriky,Superpower Pokémon,fighting,,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.",,humanshape,gray,mountain,upright
66,67,I,Machoke,Goriky,Superpower Pokémon,fighting,,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",,humanshape,gray,mountain,humanoid
67,68,I,Machamp,Kairiky,Superpower Pokémon,fighting,,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,,humanshape,gray,mountain,humanoid
68,69,I,Bellsprout,Madatsubomi,Flower Pokémon,grass,poison,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,,plant,green,forest,humanoid
69,70,I,Weepinbell,Utsudon,Flycatcher Pokémon,grass,poison,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",,plant,green,forest,blob
70,71,I,Victreebel,Utsubot,Flycatcher Pokémon,grass,poison,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",,plant,green,forest,blob
71,72,I,Tentacool,Menokurage,Jellyfish Pokémon,water,poison,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,,water3,blue,sea,tentacles
72,73,I,Tentacruel,Dokukurage,Jellyfish Pokémon,water,poison,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.",,water3,blue,sea,tentacles
73,74,I,Geodude,Isitsubute,Rock Pokémon,rock,ground,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.",,mineral,brown,mountain,arms
74,75,I,Graveler,Golone,Rock Pokémon,rock,ground,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.",,mineral,brown,mountain,humanoid
75,76,I,Golem,Golonya,Megaton Pokémon,rock,ground,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air.",,mineral,brown,mountain,humanoid
76,77,I,Ponyta,Ponyta,Fire Horse Pokémon,fire,psychic,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",,ground,yellow,grassland,quadruped
77,78,I,Rapidash,Gallop,Fire Horse Pokémon,fire,psychic,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",,ground,yellow,grassland,quadruped
78,79,I,Slowpoke,Yadon,Dopey Pokémon,water,psychic,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either.",,water1,pink,waters-edge,quadruped
79,80,I,Slowbro,Yadoran,Hermit Crab Pokémon,water,psychic,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.,,water1,pink,waters-edge,upright
80,81,I,Magnemite,Coil,Magnet Pokémon,electric,steel,"At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again.",,mineral,gray,rough-terrain,arms
81,82,I,Magneton,Rarecoil,Magnet Pokémon,electric,steel,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.,,mineral,gray,rough-terrain,heads
82,83,I,Farfetch'd,Kamonegi,Wild Duck Pokémon,normal,flying,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food.",,,,,
83,84,I,Doduo,Dodo,Twin Bird Pokémon,normal,flying,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs.",,flying,brown,grassland,legs
84,85,I,Dodrio,Dodorio,Triple Bird Pokémon,normal,flying,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.,,flying,brown,grassland,legs
85,86,I,Seel,Pawou,Sea Lion Pokémon,water,,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.,,ground,white,sea,fish
86,87,I,Dewgong,Jugon,Sea Lion Pokémon,water,ice,"Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters.",,ground,white,sea,fish
87,88,I,Grimer,Betbeter,Sludge Pokémon,poison,poison,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.,,indeterminate,purple,urban,arms
88,89,I,Muk,Betbeton,Sludge Pokémon,poison,poison,"Smells so awful, it can cause fainting. Through degeneration of its nose, it lost its sense of smell.",,indeterminate,purple,urban,arms
89,90,I,Shellder,Shellder,Bivalve Pokémon,water,,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.,,water3,purple,sea,ball
90,91,I,Cloyster,Parshen,Bivalve Pokémon,water,ice,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking.",,water3,purple,sea,ball
91,92,I,Gastly,Ghos,Gas Pokémon,ghost,poison,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.",,indeterminate,purple,cave,ball
92,93,I,Haunter,Ghost,Gas Pokémon,ghost,poison,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes.",,indeterminate,purple,cave,arms
93,94,I,Gengar,Gangar,Shadow Pokémon,ghost,poison,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing.",,indeterminate,purple,cave,upright
94,95,I,Onix,Iwark,Rock Snake Pokémon,rock,ground,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid.",,mineral,gray,cave,squiggle
95,96,I,Drowzee,Sleepe,Hypnosis Pokémon,psychic,,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past.",,humanshape,yellow,grassland,humanoid
96,97,I,Hypno,Sleeper,Hypnosis Pokémon,psychic,,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.,,humanshape,yellow,grassland,humanoid
97,98,I,Krabby,Crab,River Crab Pokémon,water,,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,,water3,red,waters-edge,armor
98,99,I,Kingler,Kingler,Pincer Pokémon,water,,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.",,water3,red,waters-edge,armor
99,100,I,Voltorb,Biriridama,Ball Pokémon,electric,,It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.,,mineral,red,urban,ball
100,101,I,Electrode,Marumine,Ball Pokémon,electric,,Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.,,mineral,red,urban,ball
101,102,I,Exeggcute,Tamatama,Egg Pokémon,grass,psychic,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",,plant,pink,forest,heads
102,103,I,Exeggutor,Nassy,Coconut Pokémon,grass,psychic,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,,plant,yellow,forest,legs
103,104,I,Cubone,Karakara,Lonely Pokémon,ground,,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.",,monster,brown,mountain,upright
104,105,I,Marowak,Garagara,Bone Keeper Pokémon,ground,fire,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon.",,monster,brown,mountain,upright
105,106,I,Hitmonlee,Sawamular,Kicking Pokémon,fighting,,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.,,humanshape,brown,urban,humanoid
106,107,I,Hitmonchan,Ebiwalar,Punching Pokémon,fighting,,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.",,humanshape,brown,urban,humanoid
107,108,I,Lickitung,Beroringa,Licking Pokémon,normal,,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either.",,monster,pink,grassland,upright
108,109,I,Koffing,Dogars,Poison Gas Pokémon,poison,,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.",,indeterminate,purple,urban,ball
109,110,I,Weezing,Matadogas,Poison Gas Pokémon,poison,poison,It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.,,indeterminate,purple,urban,heads
110,111,I,Rhyhorn,Sihorn,Spikes Pokémon,ground,rock,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles.",,ground,gray,rough-terrain,quadruped
111,112,I,Rhydon,Sidon,Drill Pokémon,ground,rock,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,,ground,gray,rough-terrain,upright
112,113,I,Chansey,Lucky,Egg Pokémon,normal,,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.,,fairy,pink,urban,upright
113,114,I,Tangela,Monjara,Vine Pokémon,grass,,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.",,plant,blue,grassland,legs
114,115,I,Kangaskhan,Garura,Parent Pokémon,normal,,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.",,monster,brown,grassland,upright
115,116,I,Horsea,Tattu,Dragon Pokémon,water,,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes.",,dragon,blue,sea,blob
116,117,I,Seadra,Seadra,Dragon Pokémon,water,,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison.",,dragon,blue,sea,blob
117,118,I,Goldeen,Tosakinto,Goldfish Pokémon,water,,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.",,water2,red,waters-edge,fish
118,119,I,Seaking,Azumao,Goldfish Pokémon,water,,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.",,water2,red,waters-edge,fish
119,120,I,Staryu,Hitodeman,Starshape Pokémon,water,,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm.",,water3,brown,sea,blob
120,121,I,Starmie,Starmie,Mysterious Pokémon,water,psychic,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,,water3,purple,sea,blob
121,122,I,Mr. Mime,Barrierd,Barrier Pokémon,psychic,fairy,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.,,,,,
122,123,I,Scyther,Strike,Mantis Pokémon,bug,flying,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree.",,bug,green,grassland,bug-wings
123,124,I,Jynx,Rougela,Humanshape Pokémon,ice,psychic,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.",,humanshape,red,urban,humanoid
124,125,I,Electabuzz,Eleboo,Electric Pokémon,electric,,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,,humanshape,yellow,grassland,upright
125,126,I,Magmar,Boober,Spitfire Pokémon,fire,,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,,humanshape,red,mountain,upright
126,127,I,Pinsir,Kailios,Stagbeetle Pokémon,bug,,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",,bug,brown,forest,humanoid
127,128,I,Tauros,Kentauros,Wild Bull Pokémon,normal,,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.",,ground,brown,grassland,quadruped
128,129,I,Magikarp,Koiking,Fish Pokémon,water,,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.,,dragon,red,waters-edge,fish
129,130,I,Gyarados,Gyarados,Atrocious Pokémon,water,flying,It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.,,dragon,blue,waters-edge,squiggle
130,131,I,Lapras,Laplace,Transport Pokémon,water,ice,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",,water1,blue,sea,fish
131,132,I,Ditto,Metamon,Transform Pokémon,normal,,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.",,ditto,purple,urban,ball
132,133,I,Eevee,Eievui,Evolution Pokémon,normal,,It has the ability to alter the composition of its body to suit its surrounding environment.,,ground,brown,urban,quadruped
133,134,I,Vaporeon,Showers,Bubble Jet Pokémon,water,,"When Vaporeon’s fins begin to vibrate, it is a sign that rain will come within a few hours.",,ground,blue,urban,quadruped
134,135,I,Jolteon,Thunders,Lightning Pokémon,electric,,"If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes.",,ground,yellow,urban,quadruped
135,136,I,Flareon,Booster,Flame Pokémon,fire,,"Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit.",,ground,red,urban,quadruped
136,137,I,Porygon,Porygon,Virtual Pokémon,normal,,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.,,mineral,pink,urban,legs
137,138,I,Omanyte,Omnite,Spiral Pokémon,rock,water,"Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem.",,water3,blue,sea,tentacles
138,139,I,Omastar,Omstar,Spiral Pokémon,rock,water,"Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.",,water3,blue,sea,tentacles
139,140,I,Kabuto,Kabuto,Shellfish Pokémon,rock,water,"This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder.",,water3,brown,sea,armor
140,141,I,Kabutops,Kabutops,Shellfish Pokémon,rock,water,Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.,,water3,brown,sea,upright
141,142,I,Aerodactyl,Ptera,Fossil Pokémon,rock,flying,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,,flying,purple,mountain,wings
142,143,I,Snorlax,Kabigon,Sleeping Pokémon,normal,,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",,monster,black,mountain,humanoid
143,144,I,Articuno,Freezer,Freeze Pokémon,ice,flying,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.",,no-eggs,blue,rare,wings
144,145,I,Zapdos,Thunder,Electric Pokémon,electric,flying,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,,no-eggs,yellow,rare,wings
145,146,I,Moltres,Fire,Flame Pokémon,fire,flying,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.",,no-eggs,yellow,rare,wings
146,147,I,Dratini,Miniryu,Dragon Pokémon,dragon,,"Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times.",,dragon,blue,waters-edge,squiggle
147,148,I,Dragonair,Hakuryu,Dragon Pokémon,dragon,,"This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind.",,dragon,blue,waters-edge,squiggle
148,149,I,Dragonite,Kairyu,Dragon Pokémon,dragon,flying,"It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them.",,dragon,brown,waters-edge,upright
149,150,I,Mewtwo,Mewtwo,Genetic Pokémon,psychic,,"Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different.",,no-eggs,purple,rare,upright
150,151,I,Mew,Mew,New Species Pokémon,psychic,,"When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen.",,no-eggs,pink,rare,upright
151,152,II,Chikorita,Chicorita,Leaf Pokémon,grass,,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",,plant,green,grassland,quadruped
152,153,II,Bayleef,Bayleaf,Leaf Pokémon,grass,,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,,plant,green,grassland,quadruped
153,154,II,Meganium,Meganium,Herb Pokémon,grass,,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",,plant,green,grassland,quadruped
154,155,II,Cyndaquil,Hinoarashi,Fire Mouse Pokémon,fire,,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",,ground,yellow,grassland,humanoid
