name,ndex,category,bio,type1,type2
Entei,,Volcano,"==Biology==
[NAME] is a massive, leonine, quadrupedal Pokémon with some mastiff qualities. It is covered in brown fur and a long, light gray cloud of smoke running along its entire back. It has gray plates on either side of the cloud and a plate beneath the cream belly fur on its chest. [NAME] has gray paws with brown pads and black cuff-like bands on its legs. Both front paws house three small, white retractable claws, which can be seen in battle or in Pokémon Camp. Its main faceplate is red and shaped like fins or a six-sided star. A gray plate, resembling a horseshoe mustache, covers its muzzle. It also has a yellow crest with three sloped points on its forehead and red eyes.

150 years ago, Brass Tower in Johto was hit by a lightning bolt, causing it to catch on a huge fire and would be later put out by a sudden downpout. Three unnamed Pokémon perished in the fire, however, the Legendary Pokémon Ho-Oh granted the trio new life, one of those Pokémon was revived as [NAME], which represents the fire that destroyed the now Burned Tower.

It is said that an [NAME] is born whenever a new volcano appears, and that whenever [NAME] roars, a volcano erupts somewhere in the world. [NAME] races across grasslands at high speeds. It does this due to being unable to contain its extreme power. [NAME] is believed to represent the passion of magma, and is claimed to be the bringer of the summer's warmth. [NAME] can unleash massive bursts of fire capable of destroying anything it touches. Its fire is said to be hotter than the magma of a volcano. [NAME] loves [NAME] Treats made by Snacksworth, who once ran into and chased it in the past. Gouging Fire shares a resemblance to [NAME]. It is theorized to be an ancient [NAME] regenerated from a fossil.

As mentioned in the Sleep Style Dex, [NAME] is known to sometimes leak flames from its mouth. It also leaks flames while it sleeps as well. After taking a good rest, [NAME] will sweep across the land, expelling waves of fire similar to an erupting volcano. [NAME] is known to enjoy eating [NAME] Biscuits. [NAME] can be lured over to a sleeping spot using the [NAME] Incense. [NAME] has three different sleep styles it sleeps in, they are called ''Energy-Storing Sleep'', ''Meditative Sleep'', and ''Volcano Sleep''.",Fire,
Nidorina,0030,Poison Pin,"If the group is threatened, these Pokémon will
band together to assault enemies with a chorus
of ultrasonic waves.",Poison,
Combusken,0256,Young Fowl,"[NAME] battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting.",Fire,Fighting
Whismur,0293,Whisper,"When [NAME] cries, the sound of its own voice
startles it, making the Pokémon cry even louder.
It cries until it’s exhausted, then it falls asleep.",Normal,
Tapu Koko,0785,Land Spirit,"The lightning-wielding guardian deity of
Melemele, [NAME] is brimming with curiosity
and appears before people from time to time.",Electric,Fairy
Wimpod,0767,Turn Tail,"[NAME] gather in swarms, constantly on the
lookout for danger. They scatter the moment
they detect an enemy’s presence.",Bug,Water
Porygon-Z,0474,Virtual,"A curious item induced this evolution. The Pokémon's offensive
capabilities have greatly increased, but the strangeness of its
behavior has magnified in equal measure. This worries me.",Normal,
Fletchinder,0662,Ember,"[NAME] are exceedingly territorial and
aggressive. These Pokémon fight among
themselves over feeding grounds.",Fire,Flying
Grumpig,0326,Manipulate,"[NAME] uses the black pearls on its body to wield
its fantastic powers. When it is doing so, it dances bizarrely.
This Pokémon’s black pearls are valuable as works of art.",Psychic,
Delcatty,0301,Prim,"[NAME] sleeps anywhere it wants without keeping a permanent
nest. If other Pokémon approach it as it sleeps, this Pokémon
will never fight—it will just move away somewhere else.",Normal,
Samurott,0503,Formidable,"Hard of heart and deft of blade, this rare form of [NAME] is
a product of the Pokémon's evolution in the region of Hisui. Its
turbulent blows crash into foes like ceaseless pounding waves.",Water,
Omastar,0139,Spiral,"[NAME]’s sharp fangs could crush rock, but the
Pokémon can attack only the prey that come
within reach of its tentacles.",Rock,Water
Sandy Shocks,0989,Paradox,"It slightly resembles a Magneton that lived for 10,000 years and was featured in an article in a paranormal magazine.",Electric,Ground
Gastrodon,0423,Sea Slug,"Eats beach sand for nourishment. Should one [NAME]
encounter another of a different color, a fierce battle will inevitably ensue.",Water,Ground
Yveltal,0717,Destruction,"When its life comes to an end, it absorbs
the life energy of every living thing
and turns into a cocoon once more.",Dark,Flying
Orthworm,0968,Earthworm,This Pokémon lives in arid deserts. It maintains its metal body by consuming iron from the soil.,Steel,
Shroomish,0285,Mushroom,"If [NAME] senses danger, it shakes its body and scatters
spores from the top of its head. This Pokémon’s spores are
so toxic, they make trees and weeds wilt.",Grass,
Lanturn,0171,Light,"This Pokémon flashes a bright light that blinds
its prey. This creates an opening for it to deliver
an electrical attack.",Water,Electric
Bayleef,0153,Leaf,"[NAME]’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy.",Grass,
Indeedee,0876,Emotion,"Through its horns, it can pick up on the emotions
of creatures around it. Positive emotions are the
source of its strength.",Psychic,Normal
Hitmonlee,0106,Kicking,"The legs freely contract and stretch. The stretchy
legs allow it to hit a distant foe with a rising kick.",Fighting,
Frigibax,0996,Ice Fin,"This Pokémon lives in forests and craggy areas. Using the power of its dorsal fin, it cools the inside of its nest like a refrigerator.",Dragon,Ice
Leavanny,0542,Nurturing,"It keeps its eggs warm with heat from fermenting
leaves. It also uses leaves to make warm wrappings
for Sewaddle.",Bug,Grass
Iron Jugulis,0993,Paradox,"It’s possible that [NAME], an object described in an old book, may actually be this Pokémon.",Dark,Flying
Mienshao,0620,Martial Arts,"Delivered at blinding speeds, kicks from this
Pokémon can shatter massive boulders into
tiny pieces.",Fighting,
Buneary,0427,Rabbit,"My hypothesis as to why [NAME] rolls up its ears is that its
hearing is far too keen. I surmise that the Pokémon protects its
hearing by limiting the sound that may enter its ears.",Normal,
Gimmighoul,0999,{{tt|Coin Chest|Chest Form}},It lives inside an old treasure chest. Sometimes it gets left in shop corners since no one realizes it’s actually a Pokémon.,Ghost,
Calyrex,0898,{{tt|King|Calyrex}},"[NAME] is known in legend as a king that ruled
over Galar in ancient times. It has the power to
cause hearts to mend and plants to spring forth.",Psychic,Grass
Gible,0443,Land Shark,"It nests in caves untouched by sunlight. Its sharp teeth may fall
out when worn away or after an impact, but they regrow within
a few days.",Dragon,Ground
Spinarak,0167,{{tt|String Spit|STRINGSPIT in Generation II}},"Although the poison from its fangs isn’t that
strong, it’s potent enough to weaken prey that
gets caught in its web.",Bug,Poison
Zweilous,0634,Hostile,"Their two heads will fight each other over a
single piece of food. [NAME] are covered in
scars even without battling others.",Dark,Dragon
Dewpider,0751,Water Bubble,"[NAME] normally lives underwater. When it
comes onto land in search of food, it takes
water with it in the form of a bubble on its head.",Water,Bug
Boldore,,Ore,"==Biology==
[NAME] is a blue, rock-like Pokémon with an array of reddish-orange crystals on its back and front, and a spine protruding from between its yellow ears. Rocky chunks at its sides comprise pincer-like limbs, tipped with reddish-orange crystals similar to the ones on its back. These crystals, which are tough enough to break diamonds, are the hardened form of its endlessly leaking energy.

[NAME]'s crystals shine brightly when it begins overflowing with power or when it is preparing to fire bursts of energy. Because its crystals are valuable, with a fragment being capable of powering a hundred dump trucks, [NAME] is targeted for them. It searches for underground water in the caves where it lives; however, because it is uncomfortable around water, it is always very careful about lapping it up. A healthy [NAME] will always have its core sticking out. Due to relying on sound to know what is nearby, it always faces the same way, never moving in a diagonal direction; even when brought to anger, it will attack while facing in its initial direction.",Rock,
Corphish,0341,Ruffian,"It was originally a Pokémon from afar that escaped
to the wild. It can adapt to the dirtiest river.",Water,
Munkidori,1015,Retainer,"[NAME] keeps itself somewhere safe while it toys with its foes, using psychokinesis to induce intense dizziness.",Poison,Psychic
Swablu,0333,Cotton Bird,"Since [NAME] looks like a cumulus cloud, foes can
have a hard time finding it. Apparently its wings
turned white over many generations.",Normal,Flying
Excadrill,0530,Subterrene,"Known as the Drill King, this Pokémon can
tunnel through the terrain at speeds of over
90 mph.",Ground,Steel
Mewtwo,0150,Genetic,"Its DNA is almost the same as Mew’s. However,
its size and disposition are vastly different.",Psychic,
Eternatus,0890,Gigantic,"It was inside a meteorite that fell 20,000 years
ago. There seems to be a connection between
this Pokémon and the Dynamax phenomenon.",Poison,Dragon
Dondozo,0977,Big Catfish,"It treats Tatsugiri like its boss and follows it loyally. Though powerful, [NAME] is apparently not very smart.",Water,
Ribombee,0743,Bee Fly,"[NAME] absolutely hate getting wet or
rained on. In the cloudy Galar region,
they are very seldom seen.",Bug,Fairy
Kricketot,0401,Cricket,"When the trees take on new hues, more of these Pokémon
appear. The tone they create by striking their antennae together
resembles that of the marimba, an instrument of foreign lands.",Bug,
Walrein,0365,Ice Break,"Its thick tusks are strong enough to shatter drift ice. They have
been known to break, but they will grow back by the next year.
The Hisui region is well known for these broken tusks.",Ice,Water
Xurkitree,0796,Glowing,"They’ve been dubbed Ultra Beasts. Some of
them stand unmoving, like trees, with their
arms and legs stuck into the ground.",Electric,
Makuhita,0296,Guts,"There’s a rumor of a traditional recipe for stew
that Trainers can use to raise strong [NAME].",Fighting,
Growlithe,0058,{{tt|Puppy|Growlithe}},"They patrol their territory in pairs. I believe the igneous
rock components in the fur of this species are the result of
volcanic activity in its habitat.",Fire,
Cascoon,0268,Cocoon,"The silk coating its body is thin but sufficiently strong. [NAME]'s
silk has a luster and texture superior to that of Silcoon's, and
clothes made using [NAME] silk are regarded as top-notch.",Bug,
Klefki,0707,Key Ring,"[NAME] sucks in metal ions with the horn topping
its head. It seems this Pokémon loves keys so
much that its head needed to look like one, too.",Steel,Fairy
Liepard,0510,Cruel,"This stealthy Pokémon sneaks up behind prey
without making any sound at all. It competes with
Thievul for territory.",Dark,
Charizard,0006,Flame,"Its wings can carry this Pokémon close to an
altitude of 4,600 feet. It blows out fire at very
high temperatures.",Fire,Flying
Incineroar,0727,Heel,"[NAME]’s rough and aggressive behavior is its
most notable trait, but the way it helps out small
Pokémon shows that it has a kind side as well.",Fire,Dark
Axew,0610,Tusk,"They play with each other by knocking their large
tusks together. Their tusks break sometimes, but
they grow back so quickly that it isn’t a concern.",Dragon,
Iron Moth,0994,Paradox,"No records exist of this species being caught. Data is lacking, but the Pokémon’s traits match up with an object described in an old book.",Fire,Poison
Phanpy,0231,Long Nose,"[NAME] uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokémon can be seen drying their soaking-wet
bodies at the edge of water.",Ground,
Kakuna,0014,Cocoon,"Able to move only slightly. When endangered, it
may stick out its stinger and poison its enemy.",Bug,Poison
Houndstone,0972,Ghost Dog,A lovingly mourned Pokémon was reborn as [NAME]. It doesn’t like anyone touching the protuberance atop its head.,Ghost,
Magnezone,0462,Magnet Area,"I theorize that a special magnetic field influenced this Pokémon,
changing its molecular structure and causing it to evolve. It emits
strange radio waves toward space from its antenna.",Electric,Steel
Trubbish,0568,Trash Bag,"This Pokémon was born from a bag stuffed with
trash. Galarian Weezing relish the fumes belched
by [NAME].",Poison,
Miltank,0241,Milk Cow,"This Pokémon needs to be milked every day,
or else it will fall ill. The flavor of [NAME] milk
changes with the seasons.",Normal,
Hatenna,0856,Calm,"If this Pokémon senses a strong emotion, it
will run away as fast as it can. It prefers areas
without people.",Psychic,
Jangmo-o,0782,Scaly,"[NAME] strikes its scales to communicate with
others of its kind. Its scales are actually fur that’s
become as hard as metal.",Dragon,
Dudunsparce,0982,Land Snake,"It drives enemies out of its nest by sucking in enough air to fill its long, narrow lungs, then releasing the air in an intense blast.",Normal,
Bounsweet,0761,Fruit,"When under attack, it secretes a sweet
and delicious sweat. The scent only calls
more enemies to it.",Grass,
Tropius,0357,Fruit,"Bunches of delicious fruit grow around its neck.
In warm areas, many ranches raise [NAME].",Grass,Flying
Tyranitar,0248,Armor,"The quakes caused when it walks make even
great mountains crumble and change
the surrounding terrain.",Rock,Dark
Barboach,0339,Whiskers,"Makes its home in swamps with murky water. The poor visibility
hides this Pokémon from predators, and the slime on its body
makes grasping it difficult.",Water,Ground
Mantyke,0458,Kite,"Though ball-like in shape, this Pokémon is a proficient swimmer.
I have discovered that if a [NAME] spends much time with
schools of Remoraid, it will eventually achieve evolution.",Water,Flying
Crobat,0169,Bat,"Its hind limbs have become another set of wings. [NAME]
expertly maneuvers its four wings to dart in exquisite fashion
through even the most confined caves without losing any speed.",Poison,Flying
Regice,0378,Iceberg,"This Pokémon’s body is made of solid ice. It’s
said that [NAME] was born beneath thick ice in
the ice age.",Ice,
Nidoking,0034,Drill,"[NAME] prides itself on its strength. It’s forceful
and spirited in battle, making use of its thick tail
and diamond-crushing horn.",Poison,Ground
Feebas,0349,Fish,"It is a shabby and ugly Pokémon. However, it is
very hardy and can survive on little water.",Water,
Swirlix,0684,Cotton Candy,"The sweet smell of cotton candy perfumes
[NAME]’s fluffy fur. This Pokémon spits out
sticky string to tangle up its enemies.",Fairy,
Naganadel,0804,Poison Pin,"One kind of Ultra Beast, it fires a glowing,
venomous liquid from its needles. This liquid
is also immensely adhesive.",Poison,Dragon
Amaura,0698,Tundra,"[NAME] is an ancient Pokémon that has gone
extinct. Specimens of this species can sometimes
be found frozen in ice.",Rock,Ice
Pumpkaboo,0710,Pumpkin,"The light that streams out from the holes in the
pumpkin can hypnotize and control the people
and Pokémon that see it.",Ghost,Grass
Alakazam,0065,Psi,"The longer [NAME] lives, the larger and heavier its head
becomes. Our tests have shown that the strength of its psychic
powers correlates positively to the weight of its head.",Psychic,
Pelipper,0279,Water Bird,"Skimming the water’s surface, it dips its large bill
in the sea, scoops up food and water, and
carries it.",Water,Flying
Panpour,0515,Spray,"The water stored inside the tuft on its head is full of
nutrients. Plants that receive its water grow large.",Water,
Keldeo,0647,Colt,"They say that [NAME] must survive harsh battles
and fully develop the horn on its forehead
before this Pokémon’s true power will awaken.",Water,Fighting
Sandshrew,0027,Mouse,"It burrows into the ground to create its nest. If
hard stones impede its tunneling, it uses its sharp
claws to shatter them and then carries on digging.",Ground,
Golett,0622,Automaton,"This Pokémon was created from clay. It received
orders from its master many thousands of years
ago, and it still follows those orders to this day.",Ground,Ghost
Darumaka,0554,Zen Charm,"This popular symbol of good fortune will never
fall over in its sleep, no matter how it’s pushed
or pulled.",Fire,
Iron Bundle,0991,Paradox,It resembles a mysterious object mentioned in an old book. There are only two reported sightings of this Pokémon.,Ice,Water
Capsakid,0951,Spicy Pepper,Traditional Paldean dishes can be extremely spicy because they include the shed front teeth of [NAME] among their ingredients.,Grass,
Delphox,0655,Fox,"Using psychic power, it generates a
fiery vortex of 5,400 degrees Fahrenheit,
incinerating foes swept into this whirl of flame.",Fire,Psychic
Jynx,0124,{{tt|Human Shape|HUMANSHAPE before Generation III}},"The [NAME] of Galar often have beautiful and
delicate voices. Some of these Pokémon have
even gathered a fan base.",Ice,Psychic
Oshawott,0501,Sea Otter,"This Pokémon from the Unova region uses the shell on its belly
as a weapon to cut down its foes. Thus, I've conferred upon this
shell the name ”scalchop”.",Water,
Drifblim,0426,Blimp,"It drifts along at dusk, perfectly silent. Its transient, melancholy
aspect touches some people deeply—every so often, one will
come upon a song or poem devoted to [NAME].",Ghost,Flying
Emolga,0587,Sky Squirrel,"This Pokémon absolutely loves sweet berries.
Sometimes it stuffs its cheeks full of so much
food that it can’t fly properly.",Electric,Flying
Cacturne,0332,Scarecrow,"If a traveler is going through a desert in the thick of night,
[NAME] will follow in a ragtag group. The Pokémon are
biding their time, waiting for the traveler to tire and become
incapable of moving.",Grass,Dark
Lampent,0608,Lamp,"It lurks in cities, pretending to be a lamp.
Once it finds someone whose death is near,
it will trail quietly after them.",Ghost,Fire
Hoopa,0720,{{tt|Mischief|Hoopa Confined}},"It is said to be able to seize anything it desires
with its six rings and six huge arms. With its power
sealed, it is transformed into a much smaller form.",Psychic,Ghost
Milotic,0350,Tender,"It’s said that a glimpse of a [NAME] and its beauty
will calm any hostile emotions you’re feeling.",Water,
Kyurem,0646,Boundary,"It appears that this Pokémon uses its powers over
ice to freeze its own body in order to stabilize its
cellular structure.",Dragon,Ice
Sunkern,0191,Seed,"[NAME] tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew.",Grass,
Lurantis,0754,Bloom Sickle,"The petals on this Pokémon’s arms are thin and
super sharp, and they can fire laser beams if
[NAME] gathers light first.",Grass,
Blipbug,0824,Larva,"Often found in gardens, this Pokémon has hairs
on its body that it uses to assess its surroundings.",Bug,
Haxorus,0612,Axe Jaw,"While usually kindhearted, it can be terrifying if
angered. Tusks that can slice through steel beams
are how [NAME] deals with its adversaries.",Dragon,
Corviknight,0823,Raven,"With their great intellect and flying skills, these
Pokémon very successfully act as the Galar
region’s airborne taxi service.",Flying,Steel
Mareanie,0747,Brutal Star,"Unlike their Alolan counterparts, the [NAME]
of the Galar region have not yet figured out
that the branches of Corsola are delicious.",Poison,Water
Rabsca,0954,Rolling,An infant sleeps inside the ball. [NAME] rolls the ball soothingly with its legs to ensure the infant sleeps comfortably.,Bug,Psychic
Slowbro,0080,{{tt|Hermit Crab|HERMITCRAB before Generation III}},"Being bitten by a Shellder shocked this Pokémon
into standing on two legs. If the Shellder lets go,
it seems [NAME] will turn back into a Slowpoke.",Water,Psychic
Oinkologne,0916,Hog,"It entrances female Pokémon with the sweet, alluring scent that wafts from all over its body.",Normal,
Krokorok,0552,Desert Croc,"Although this Pokémon has specialized eyes that
allow it to see in the dark, [NAME] won’t move
much at night—the desert gets cold after sunset.",Ground,Dark
Gyarados,0130,Atrocious,"I suspect this Pokémon to be the true identity of a dragon
written of in ancient texts, which claimed that it razed an entire
village with white-hot beams from its maw.",Water,Flying
Crawdaunt,0342,Rogue,"A brutish Pokémon that loves to battle. It will
crash itself into any foe that approaches its nest.",Water,Dark
Dedenne,0702,Antenna,"Since [NAME] can’t generate much electricity on
its own, it steals electricity from outlets or other
electric Pokémon.",Electric,Fairy
Amoonguss,0591,Mushroom,"[NAME] generally doesn’t move much. It
tends to stand still near Poké Balls that have
been dropped on the ground.",Grass,Poison
Magikarp,0129,Fish,"A feeble, pitiful imbecile of a Pokémon that is nonetheless very
hardy. Unperturbed by turbid water, it can be found living in all
sorts of places.",Water,
Bidoof,0399,Plump Mouse,"[NAME] has an unsophisticated face and is rarely flustered by
anything. There have been incidents involving [NAME] sauntering
into villages and gnawing on the houses without a single care.",Normal,
Ledyba,0165,Five Star,"These very cowardly Pokémon join together and
use Reflect to protect their nest.",Bug,Flying
Bewear,0760,Strong Arm,"The moves it uses to take down its prey would
make a martial artist jealous. It tucks subdued
prey under its arms to carry them to its nest.",Normal,Fighting
Vaporeon,0134,Bubble Jet,"Tests show that its cells closely resemble water molecules, which
perhaps explains its ability to conceal its form while submerged.
I believe the origins of mermaid folklore lie with this Pokémon.",Water,
Rookidee,0821,Tiny Bird,"Jumping nimbly about, this small-bodied
Pokémon takes advantage of even the slightest
opportunity to disorient larger opponents.",Flying,
Tyrunt,0696,Royal Heir,"This Pokémon is selfish and likes to be pampered.
It can also inflict grievous wounds on its Trainer
just by playing around.",Rock,Dragon
Tirtouga,0564,Prototurtle,"[NAME] is considered to be the ancestor of
many turtle Pokémon. It was restored to life
from a fossil.",Water,Rock
Mr. Mime,0122,{{tt|Barrier|Mr. Mime}},"The behavior of this clown-like Pokémon reminds one of
pantomime. It creates invisible walls using a force emitted
from its fingertips.",Psychic,Fairy
Swampert,0260,Mud Fish,"[NAME] predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself.",Water,Ground
Dewgong,0087,Sea Lion,"Its entire body is a snowy white. Unharmed by
even intense cold, it swims powerfully
in icy waters.",Water,Ice
Uxie,0480,Knowledge,"A Pokémon feared but also respected for stealing away the
memories of evildoers. I have found records that suggest [NAME]
holds dominion over knowledge.",Psychic,
Purugly,0432,Tiger Cat,"Though impudent and difficult to tame, [NAME] enjoys great
popularity due to its fur, the beauty of which surpasses
even velveteen.",Normal,
Houndoom,0229,Dark,"Identifiable by its eerie howls, people a long
time ago thought it was the grim reaper and
feared it.",Dark,Fire
Toxicroak,0454,Toxic Mouth,"Its crimson claws contain a virulent toxin. This toxin can be made
into a tonic by diluting it, mixing it with several types of wild
grass, and boiling it down over two days.",Poison,Fighting
